=== CONFORMANCE CORPUS — ACCEPT/REJECT TABLE ===
accepted? per validator; PASS means the validator matched the fixture's declared expectation

fixture                                                                        expect  pydantic  zod    agree  verdict
invalid/defs-cylinder-properties-r-bottom-minimum-parts-0-geometry-r-bottom.json reject  False     False  True   PASS
invalid/defs-cylinder-properties-r-bottom-type-parts-0-geometry-r-bottom.json  reject  False     False  True   PASS
invalid/defs-cylinder-properties-r-top-maximum-parts-0-geometry-r-top.json     reject  False     False  True   PASS
invalid/defs-cylinder-properties-r-top-minimum-parts-0-geometry-r-top.json     reject  False     False  True   PASS
invalid/defs-cylinder-properties-r-top-type-parts-0-geometry-r-top.json        reject  False     False  True   PASS
invalid/defs-cylinder-properties-type-const-parts-0-geometry-type.json         reject  False     False  True   PASS
invalid/defs-cylinder-properties-type-type-parts-0-geometry-type.json          reject  False     False  True   PASS
invalid/defs-cylinder-required-parts-0-geometry-height.json                    reject  False     False  True   PASS
invalid/defs-cylinder-required-parts-0-geometry-r-bottom.json                  reject  False     False  True   PASS
invalid/defs-cylinder-required-parts-0-geometry-r-top.json                     reject  False     False  True   PASS
invalid/defs-cylinder-required-parts-0-geometry-type.json                      reject  False     False  True   PASS
invalid/defs-cylinder-type-parts-0-geometry.json                               reject  False     False  True   PASS
invalid/defs-extrude-additionalproperties-parts-0-geometry-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-extrude-properties-depth-exclusiveminimum-parts-0-geometry-depth.json reject  False     False  True   PASS
invalid/defs-extrude-properties-depth-maximum-parts-0-geometry-depth.json      reject  False     False  True   PASS
invalid/defs-extrude-properties-depth-type-parts-0-geometry-depth.json         reject  False     False  True   PASS
invalid/defs-extrude-properties-shape-maxitems-parts-0-geometry-shape.json     reject  False     False  True   PASS
invalid/defs-extrude-properties-shape-minitems-parts-0-geometry-shape.json     reject  False     False  True   PASS
invalid/defs-extrude-properties-shape-type-parts-0-geometry-shape.json         reject  False     False  True   PASS
invalid/defs-extrude-properties-type-const-parts-0-geometry-type.json          reject  False     False  True   PASS
invalid/defs-extrude-properties-type-type-parts-0-geometry-type.json           reject  False     False  True   PASS
invalid/defs-extrude-required-parts-0-geometry-depth.json                      reject  False     False  True   PASS
invalid/defs-extrude-required-parts-0-geometry-shape.json                      reject  False     False  True   PASS
invalid/defs-extrude-required-parts-0-geometry-type.json                       reject  False     False  True   PASS
invalid/defs-extrude-type-parts-0-geometry.json                                reject  False     False  True   PASS
invalid/defs-hexcolor-pattern-parts-0-material-color.json                      reject  False     False  True   PASS
invalid/defs-hexcolor-type-parts-0-material-color.json                         reject  False     False  True   PASS
invalid/defs-lathe-additionalproperties-parts-0-geometry-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-lathe-properties-profile-maxitems-parts-0-geometry-profile.json   reject  False     False  True   PASS
invalid/defs-lathe-properties-profile-minitems-parts-0-geometry-profile.json   reject  False     False  True   PASS
invalid/defs-lathe-properties-profile-type-parts-0-geometry-profile.json       reject  False     False  True   PASS
invalid/defs-lathe-properties-segments-maximum-parts-0-geometry-segments.json  reject  False     False  True   PASS
invalid/defs-lathe-properties-segments-minimum-parts-0-geometry-segments.json  reject  False     False  True   PASS
invalid/defs-lathe-properties-segments-type-parts-0-geometry-segments.json     reject  False     False  True   PASS
invalid/defs-lathe-properties-type-const-parts-0-geometry-type.json            reject  False     False  True   PASS
invalid/defs-lathe-properties-type-type-parts-0-geometry-type.json             reject  False     False  True   PASS
invalid/defs-lathe-required-parts-0-geometry-profile.json                      reject  False     False  True   PASS
invalid/defs-lathe-required-parts-0-geometry-type.json                         reject  False     False  True   PASS
invalid/defs-lathe-type-parts-0-geometry.json                                  reject  False     False  True   PASS
invalid/defs-material-additionalproperties-parts-0-material-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-material-properties-opacity-maximum-parts-0-material-opacity.json reject  False     False  True   PASS
invalid/defs-material-properties-opacity-minimum-parts-0-material-opacity.json reject  False     False  True   PASS
invalid/defs-material-properties-opacity-type-parts-0-material-opacity.json    reject  False     False  True   PASS
invalid/defs-material-properties-roughness-maximum-parts-0-material-roughness.json reject  False     False  True   PASS
invalid/defs-material-properties-roughness-minimum-parts-0-material-roughness.json reject  False     False  True   PASS
